idx,word,meaning,link
1,고도제한 완화,"강서구는 1958년 김포공항 개항과 함께 전체 면적의 97%가 고도제한 구역에 해당, 도시성장을 가로막는 커다란 장애물로 작용했다.<br>고도제한이란 항공기 안전운항을 위해 ICAO(국제민간항공기구)에서 공항주변의 고도를 국제기준으로 정한 것이다.<br>강서구는 1955년 ICAO가 제정한 낡은 고도제한 규정을 현실에 맞게 합리적으로 적용, 주민들의 재산권을 보호하고 지역의 성장 동력을 되찾기 위해 부단히 노력하고 있다.",http://www.sisanews.kr/news/articleView.html?idxno=33522
2,청청플라자 유치,청청플라자는 폐교 부지 등을 활용한 청소년과 청년의 자기개발 공간이다.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1243480
3,M융합캠퍼스,"M-융합캠퍼스'는 국내외 우수 대학과 연구소가 입주해 마곡산업단지 내 기업과 협력, 기업·연구소·대학이 참여하는 공동 R&D를 수행하고 4차 산업혁명을 선도할 산학융합형 인력을 육성하는 산·학·연 협력 공간이다.",http://www.mtnews.net/m/view.php?idx=5375
4,방화차량기지 이전,"소음, 분진, 미세먼지 등으로 지역 주민들의 생활권 및 학습권의 피해가 지속적으로 보고되는 차량기지를 타 지역으로 이전하겠다는 계획이다.",http://www.gynews.net/index.do?menu_id=00000021&menu_link=/front/news/icmsNews/view.do&articleId=ARTICLE_00003029
5,공항동 군부대 이전,"공항대로, 방화대로와 인접한 곳에 위치한 군부대를 옮겨 지역경제 활성화에 기여할 수 있는 도로개설과 도시개발을 계획하고 있다.",https://www.news1.kr/articles/?2018787
6,꿈날개 도시재생사업,"서울시 희망지 사업의 일환으로, 도시재생 사업의 추진에 앞서 보다 효과적인 도시재생이 이뤄질 수 있도록 기틀을 마련하는 사업이다.",http://www.sijung.co.kr/news/articleView.html?idxno=230250
7,청년주택,"청년의 주거지 보장을 위해 정부에서 지원하고 기업에서 개발, 운영하는 임대주택이다.",https://post.naver.com/viewer/postView.nhn?volumeNo=27257851&memberNo=47809952
8,서남물재생센터 지하화,지상에 있던 시설이 지하화되면서 하수처리 과정에서 발생하는 악취가 차단돼 인근 지역주민과 근무자들의 환경도 개선될 것으로 기대된다.,http://www.conslove.co.kr/news/articleView.html?idxno=61670
9,스마트팜,비닐하우스·축사에 ICT를 접목하여 원격·자동으로 작물과 가축의 생육환경을 적정하게 유지·관리할 수 있는 농장,https://www.smartfarmkorea.net/contents/view.do?menuId=M01010102
10,공공임대아파트,"공공의 재정 및 국민주택기금의 재원을 지원을 받아, 30년 이상 임대할 목적으로 건설 또는 매입되는 주택을 말한다.<br>일정소득수준 이하의 무주택 가구주에게 저렴한 임대조건으로 공급하며 분양전환이 되지 않는다.",https://m.blog.naver.com/PostView.nhn?blogId=kibanklc&logNo=40210428291&proxyReferer=https%3A%2F%2Fwww.google.com%2F
11,소득연계형 국가장학금,"등록금 부담 경감을 위한 지원으로 마련된 장학금이다.
 종류는 국가장학금 Ⅰ유형(학생직접지원형), 국가장학금 Ⅱ유형(대학연계지원형), 다자녀 국가장학금, 지역인재장학금, 입학금 지원 장학금이 있다.",https://www.kosaf.go.kr/ko/scholar.do?pg=scholarship_submain01
12,M-융합캠퍼스,"M-융합캠퍼스'는 국내외 우수 대학과 연구소가 입주해 마곡산업단지 내 기업과 협력, 기업·연구소·대학이 참여하는 공동 R&D를 수행하고 4차 산업혁명을 선도할 산학융합형 인력을 육성하는 산·학·연 협력 공간이다.",http://www.mtnews.net/m/view.php?idx=5375
13,우리동네 키움센터 확대,우리동네 키움센터'는 만 6~12세의 돌봄이 필요한 모든 아이들이 이용할 수 있는 쉼·여가·놀이공간을 마련·제공함으로써 방과 후 초등학생 아이들의 돌봄 공백을 해소하는 센터이다.,https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectCareCenterContactList.do
14,온종일 돌봄체계,"온종일 돌봄 체계는 학교를 마친 아이들에게 ‘언제, 어디서나 원하는 시간에’ 돌봄을 제공하는 서비스다. 방과 후에 지역주민이 접근하기 편한 학교와 지역사회 내 공공시설에서 아이들을 돌보고 흥미·적성·진로를 고려해 다양한 방과 후 프로그램을 제공한다.<br>학교와 지역사회가 연계해 수요자(아동)중심의 돌봄 서비스를 제공해 빈틈없는 돌봄 체계를 완성하는 공공성 강화 정책이다.",http://www.korea.kr/special/policyCurationView.do?newsId=148863867
